weekday;inscription;name;address
DOMINGO;12645;CDHU ITAIM PAULISTA DOMINGO;RUA MANOEL RODRIGUES SANTIAGO, 00010,ITAIM PAULISTA,SÃO PAULO
TERÇA-FEIRA;30511;VILA CURUCA TERÇA-FEIRA;RUA IVOTURUCAIA, 411,VL CURUCA VELHA,SÃO PAULO
TERÇA-FEIRA;30996;VILA ALABAMA TERÇA-FEIRA;AV ITAIM, 150,ITAIM PAULISTA,SÃO PAULO
TERÇA-FEIRA;31275;JARDIM CAMPOS TERÇA-FEIRA;RUA LAGOA CAJUBA, S/N,JD CAMPOS,SÃO PAULO
TERÇA-FEIRA;31518;VILA NOVA CURUCA TERÇA-FEIRA;RUA ARVORE DE CERA, S/N,JD NOVA CURUCA,SÃO PAULO
QUARTA-FEIRA;41076;PROGRESSO QUARTA-FEIRA;AV JOSE BORGES DO CANTO, 8,JD CAMARGO VELHO,SÃO PAULO
QUARTA-FEIRA;41653;VILA ITAIM QUARTA-FEIRA;AV ITAIM, S/N,VL ITAIM,SÃO PAULO
QUARTA-FEIRA;41688;JARDIM GIANETTI QUARTA-FEIRA;RUA GUABIROBA DE MINAS, S/N,JD GIANETTI,SÃO PAULO
QUINTA-FEIRA;50466;ITAIM QUINTA-FEIRA;RUA VEREDA DO PARAISO, 8,ITAIM PAULISTA,SÃO PAULO
QUINTA-FEIRA;50830;VILA NOVA CURUCA QUINTA-FEIRA;RUA ANANAI, 241,VL NOVA CURACA,SÃO PAULO
QUINTA-FEIRA;51292;JARDIM MILIUNAS QUINTA-FEIRA;RUA MONSENHOR SALIM, S/N,JD MILIUNAS,SÃO PAULO
QUINTA-FEIRA;51411;JARDIM ROBRU QUINTA-FEIRA;RUA JOAO BARBOSA DE LIMA, S/N,JD ROBRU,SÃO PAULO
QUINTA-FEIRA;51640;JARDIM CAMARGO NOVO QUINTA-FEIRA;RUA CANAL DE TUTOIA, S/N,JD CAMARGO NOVO,SÃO PAULO
SEXTA-FEIRA;60968;PARQUE SANTA RITA SEXTA-FEIRA;RUA ANAJATUBA, 866,PQ STA RITA,SÃO PAULO
SEXTA-FEIRA;61077;FLAMINGO SEXTA-FEIRA;AV FLAMINGO, 37,VL CURUCA NOVA,SÃO PAULO
SEXTA-FEIRA;61654;CONJ HABIT PADRE NILDO SEXTA-FEIRA;RUA ARACARANA, S/N,VL SAO JOSE,SÃO PAULO
SÁBADO;70530;JARDIM SILVA TELLES SÁBADO;RUA CARAIPE DAS AGUAS, 177,JD DOS IPES,SÃO PAULO
SÁBADO;70840;JARDIM DAS OLIVEIRAS SÁBADO;RUA MONSENHOR SALIM, 4,JD DAS OLIVEIRAS,SÃO PAULO
SÁBADO;71277;JARDIM NELIA SÁBADO;RUA ANASTACIO TRANCOSO, S/N,JD NELIA,SÃO PAULO
SÁBADO;72206;CONJUNTO CDHU CAMARGO VELHO SÁBADO;RUA DA CONQUISTA-G, S/N,CDHU CAMARGO VELHO,SÃO PAULO
DOMINGO;10375;ITAQUERA DOMINGO;RUA KEN SUGAYA, S/N,ITAQUERA,SÃO PAULO
DOMINGO;10910;ANCHIETA DOMINGO;RUA PALMEIRA LACA, 14A,JD ELIANE,SÃO PAULO
DOMINGO;11053;PARQUE GUARANI DOMINGO;RUA FLOR DE CABOCLO, 1,PQ GUARANI,SÃO PAULO
DOMINGO;11088;JARDIM NOVA BRASILIA DOMINGO;RUA JASMIM DA ESPANHA, S/N,JD BRASILIA,SÃO PAULO
DOMINGO;11240;SAVOY CITY DOMINGO;RUA XAVIER PALMERIM, 35,PQ SAVOY CITY,SÃO PAULO
DOMINGO;11347;COHAB II DOMINGO;PC BOM PASTOR, 387,ITAQUERA,SÃO PAULO
DOMINGO;11797;TERRA BRASILEIRA DOMINGO;RUA TERRA BRASILEIRA, S/N,VL SUICA,SÃO PAULO
DOMINGO;13706;ITAQUERA II DOMINGO;RUA LAURA BOSS,GUAIANASES,SÃO PAULO
DOMINGO;13803;CONJUNTO A E CARVALHO DOMINGO;RUA ANDRE CAVALCANTE,VILA REGINA,SÃO PAULO
TERÇA-FEIRA;30945;JARDIM NOSSA SENHORA DO CARMO TERÇA-FEIRA;RUA ESTEVAO DIAS VERGARA, 700,JD NSRA DO CARMO,SÃO PAULO
TERÇA-FEIRA;30953;COHAB III TERÇA-FEIRA;RUA FREI ANTONIO FAGGIANO, 41,ITAQUERA,SÃO PAULO
TERÇA-FEIRA;31402;JARDIM RUTH TERÇA-FEIRA;RUA FLOR DE PELICANO, S/N,JD CASA PINTADA,SÃO PAULO
